latitude,longitude
-6.451691,-67.594757
-6.514586,-67.461677
-6.498852,-67.317352
-6.395014,-67.555146
-6.363624,-67.628660
-6.301436,-67.746334
-6.285439,-67.707367
-6.304229,-67.774293
-6.328244,-67.837443
-6.271106,-67.690330
-6.257882,-67.681789
-6.273815,-67.653315
-6.305317,-67.651577
-6.194784,-67.673764
-6.181430,-67.704835
-6.143243,-67.596474
-6.039932,-67.705393
-6.144608,-67.641749
-6.052052,-66.937509
-6.019403,-66.891010
-6.035130,-66.856055
-6.052222,-66.929312
-6.043602,-66.933775
-6.837210,-66.032166
-6.833779,-66.057401
-6.798987,-66.012297
-6.685664,-66.038132
-6.638861,-66.138725
-2.427145,-62.288597
-2.514482,-62.418931
-2.505071,-62.420454
-2.509573,-62.458434
-2.525265,-62.400627
-2.549145,-62.391958
-2.570453,-62.408867
-2.563551,-62.444787
-2.542114,-62.492723
-2.488565,-62.453070
-2.460095,-62.413630
-2.462925,-62.430625
-2.459538,-62.465000
-2.452206,-62.404318
-2.390378,-62.472639
-2.472422,-62.370307
-2.549188,-62.336855
-2.572125,-62.414918
-2.609734,-62.516381
-2.612435,-62.517078
-2.612113,-62.530049
-2.629626,-62.528998
-2.607012,-62.535467
-2.605522,-62.521262
-2.627000,-62.537699
-2.633967,-62.571366
-2.618640,-62.565358
-2.670148,-62.646124
-2.667619,-62.656488
-2.669955,-62.660029
-12.883182,-53.724432
-12.912967,-53.690014
-12.951615,-53.716879
-12.970978,-53.823094
-12.918195,-53.832793
-13.020530,-53.896008
-10.707601,-64.225527
-10.721364,-64.304438
-10.730222,-64.304352
-10.729354,-64.249395
-10.746156,-64.310982
-10.792095,-64.299846
-10.766844,-64.036818
-10.785393,-64.039950
-10.800303,-63.994343
-10.722988,-63.966351
-10.876864,-64.009266
-10.655694,-64.076042
-11.000571,-63.792114
-10.988626,-63.768039
-10.994519,-63.843012
-11.007261,-63.692079
-11.024451,-63.682809
-11.021755,-63.657832
-11.026010,-63.717785
-11.017626,-63.646803
-10.999662,-63.658798
-11.097988,-64.195540
-10.822345,-64.261265
-10.694477,-64.423914
-11.730407,-63.610636
-11.757991,-63.748298
-11.697554,-63.754134
-11.611618,-63.764788
-11.621045,-63.801963
-11.620142,-63.793970
-11.627951,-63.812553
-11.629885,-63.807392
-11.605421,-63.767277
-11.485632,-63.690683
-11.486305,-63.681741
-11.336503,-63.747869
-11.313482,-63.739500
-11.361462,-63.704567
-11.222367,-63.829751
-11.180953,-63.760378
-11.266219,-63.802049
-11.265462,-63.795912
-11.372912,-63.880520
-10.926463,-63.212843
-10.925873,-63.223271
-10.925873,-63.223271
-10.897473,-63.233871
-10.834961,-63.207908
-10.807810,-63.196342
-10.793771,-63.183424
-10.787576,-63.153749
-10.756083,-63.188124
-10.768055,-63.182952
-10.748159,-63.186750
-10.748201,-63.201213
-10.724562,-63.192801
-10.712859,-63.195977
-10.697866,-63.184433
-11.068885,-63.360064
-11.048669,-63.527713
-14.994800,-64.646559
-12.897489,-63.342361
-13.054417,-63.356491
-13.451734,-62.875786
-13.426971,-62.751578
-13.703000,-62.650952
-13.755101,-62.536476
-13.164478,-63.586099
-13.200423,-63.477126
-13.240426,-63.448899
-11.935547,-69.996300
-11.269010,-70.261431
-11.673020,-70.088300
-11.650040,-70.131322
-11.491159,-70.487798
-11.644503,-71.258183
-11.634247,-71.223764
-11.600113,-71.193638
-11.589057,-71.281121
-11.674428,-72.072201
-11.648186,-72.876987
-11.831902,-73.073502
-11.262424,-72.304802
-11.030210,-71.495547
-10.996489,-71.016612
-10.987790,-71.007482
-11.009906,-70.707836
-10.507054,-72.456722
